il,plaka,yil,Hastane Sayısı - Ölçüm bazında,Hastane Yatak Sayısı - Ölçüm bazında,Sağlık Personeli Sayısı - 1. (Uzman Hekim),Sağlık Personeli Sayısı - 2. (Pratisyen Hekim),Sağlık Personeli Sayısı - 3. (Asistan Hekim),Sağlık Personeli Sayısı - 4. (Diş Hekimi),Sağlık Personeli Sayısı - 5. (Hemşire),Sağlık Personeli Sayısı - 6. (Ebe),Sağlık Personeli Sayısı - 7. (Eczacı),Sağlık Personeli Sayısı - 98. (Diğer Sağlık Personeli),"İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları","İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları - Köy","İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları - Ölçüm bazında","İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları - Şehir"
Adana,1,2023,32.0,7075.0,2816.0,1367.0,1167.0,1084.0,6522.0,1693.0,1194.0,7146.0,,,2270298.0,2270298.0
Adıyaman,2,2023,12.0,1146.0,392.0,487.0,140.0,213.0,1888.0,677.0,235.0,1993.0,,189705.0,604978.0,415273.0
Afyonkarahisar,3,2023,22.0,2380.0,660.0,547.0,343.0,319.0,2227.0,568.0,340.0,2534.0,,292980.0,751344.0,458364.0
Ağrı,4,2023,10.0,933.0,300.0,317.0,0.0,106.0,909.0,286.0,144.0,1094.0,,201517.0,511238.0,309721.0
Amasya,5,2023,7.0,875.0,263.0,267.0,18.0,128.0,1009.0,344.0,153.0,1339.0,,91311.0,339529.0,248218.0
Ankara,6,2023,85.0,25020.0,11547.0,3183.0,10085.0,4606.0,23298.0,3888.0,3408.0,20883.0,,,5803482.0,5803482.0
Antalya,7,2023,46.0,7545.0,3822.0,1718.0,1465.0,2251.0,6921.0,1790.0,1651.0,8635.0,,,2696249.0,2696249.0
Artvin,8,2023,8.0,361.0,134.0,170.0,0.0,49.0,431.0,214.0,64.0,717.0,,67687.0,172356.0,104669.0
Aydın,9,2023,25.0,3595.0,1263.0,761.0,356.0,603.0,3258.0,1076.0,583.0,3577.0,,,1161702.0,1161702.0
Balıkesir,10,2023,25.0,3385.0,1263.0,889.0,120.0,583.0,3587.0,1268.0,607.0,4195.0,,,1273519.0,1273519.0
Bilecik,11,2023,8.0,610.0,186.0,200.0,0.0,89.0,716.0,199.0,89.0,913.0,,39530.0,228058.0,188528.0
Bingöl,12,2023,7.0,696.0,181.0,236.0,0.0,93.0,811.0,296.0,101.0,1008.0,,96231.0,285655.0,189424.0
Bitlis,13,2023,8.0,1065.0,231.0,271.0,0.0,87.0,1157.0,256.0,112.0,1062.0,,127826.0,359747.0,231921.0
Bolu,14,2023,11.0,1380.0,401.0,255.0,286.0,256.0,1187.0,316.0,167.0,1363.0,,88280.0,324789.0,236509.0
Burdur,15,2023,8.0,770.0,212.0,275.0,1.0,106.0,849.0,325.0,141.0,1121.0,,82503.0,277452.0,194949.0
Bursa,16,2023,44.0,8490.0,3453.0,1825.0,1481.0,1707.0,8007.0,1804.0,1448.0,7909.0,,,3214571.0,3214571.0
Çanakkale,17,2023,14.0,1799.0,646.0,439.0,358.0,270.0,1818.0,611.0,272.0,2210.0,,217236.0,570499.0,353263.0
Çankırı,18,2023,9.0,475.0,132.0,174.0,0.0,75.0,475.0,138.0,69.0,867.0,,69801.0,205501.0,135700.0
Çorum,19,2023,16.0,1704.0,405.0,397.0,171.0,186.0,1628.0,496.0,231.0,1818.0,,139711.0,528351.0,388640.0
Denizli,20,2023,24.0,3256.0,1237.0,661.0,386.0,600.0,2874.0,986.0,574.0,3523.0,,,1059082.0,1059082.0
Diyarbakır,21,2023,28.0,4961.0,1600.0,1063.0,794.0,612.0,5035.0,1126.0,712.0,4686.0,,,1818133.0,1818133.0
Edirne,22,2023,12.0,1946.0,578.0,328.0,593.0,233.0,1695.0,412.0,226.0,1566.0,,102154.0,419913.0,317759.0
Elazığ,23,2023,13.0,3153.0,783.0,453.0,236.0,288.0,2507.0,642.0,248.0,2164.0,,147180.0,604411.0,457231.0
Erzincan,24,2023,10.0,665.0,233.0,242.0,56.0,105.0,814.0,218.0,105.0,936.0,,62411.0,243399.0,180988.0
Erzurum,25,2023,20.0,3694.0,809.0,549.0,614.0,357.0,2880.0,682.0,323.0,2566.0,,,749993.0,749993.0
Eskişehir,26,2023,15.0,3625.0,1276.0,575.0,627.0,535.0,3534.0,710.0,523.0,3478.0,,,915418.0,915418.0
Gaziantep,27,2023,34.0,8905.0,2029.0,1304.0,628.0,754.0,5789.0,1344.0,932.0,5158.0,,,2164134.0,2164134.0
Giresun,28,2023,18.0,1800.0,413.0,416.0,158.0,139.0,1740.0,542.0,231.0,2058.0,,170381.0,461712.0,291331.0
Gümüşhane,29,2023,6.0,325.0,100.0,141.0,0.0,53.0,452.0,111.0,48.0,593.0,,74795.0,148539.0,73744.0
Hakkari,30,2023,5.0,494.0,221.0,182.0,0.0,61.0,578.0,139.0,55.0,808.0,,102663.0,287625.0,184962.0
Hatay,31,2023,24.0,5026.0,1296.0,1126.0,334.0,540.0,4282.0,1138.0,706.0,3951.0,,,1544640.0,1544640.0
Isparta,32,2023,15.0,2123.0,665.0,383.0,462.0,321.0,2124.0,500.0,234.0,2056.0,,112643.0,449777.0,337134.0
Mersin,33,2023,27.0,5198.0,1959.0,1093.0,533.0,855.0,4926.0,1641.0,971.0,5299.0,,,1938389.0,1938389.0
İstanbul,34,2023,231.0,46872.0,24601.0,9147.0,12893.0,11526.0,42114.0,6709.0,8035.0,45500.0,,,15655924.0,15655924.0
İzmir,35,2023,64.0,14547.0,7204.0,2554.0,4080.0,3026.0,12656.0,2724.0,2426.0,14041.0,,,4479525.0,4479525.0
Kars,36,2023,8.0,798.0,214.0,211.0,27.0,63.0,700.0,318.0,73.0,866.0,,130307.0,278335.0,148028.0
Kastamonu,37,2023,21.0,1184.0,300.0,373.0,24.0,112.0,1094.0,295.0,142.0,1439.0,,148082.0,388990.0,240908.0
Kayseri,38,2023,27.0,4838.0,1529.0,891.0,1042.0,824.0,4579.0,1118.0,767.0,4660.0,,,1445683.0,1445683.0
Kırklareli,39,2023,10.0,1016.0,374.0,287.0,0.0,159.0,988.0,307.0,182.0,1094.0,,101627.0,377156.0,275529.0
Kırşehir,40,2023,6.0,600.0,218.0,200.0,87.0,80.0,685.0,274.0,98.0,1067.0,,49345.0,247179.0,197834.0
Kocaeli,41,2023,30.0,5446.0,2200.0,1127.0,840.0,1019.0,5364.0,1311.0,818.0,5889.0,,,2102907.0,2102907.0
Konya,42,2023,48.0,8787.0,2514.0,1529.0,1526.0,1263.0,7520.0,1616.0,1143.0,7400.0,,,2320241.0,2320241.0
Kütahya,43,2023,14.0,1981.0,485.0,437.0,273.0,293.0,1925.0,559.0,249.0,2250.0,,154560.0,575674.0,421114.0
Malatya,44,2023,20.0,3505.0,842.0,564.0,398.0,370.0,3230.0,1022.0,340.0,3126.0,,,742725.0,742725.0
Manisa,45,2023,29.0,4737.0,1501.0,943.0,469.0,459.0,3986.0,1164.0,687.0,4246.0,,,1475716.0,1475716.0
Kahramanmaraş,46,2023,17.0,3034.0,893.0,731.0,346.0,368.0,3273.0,899.0,427.0,3457.0,,,1116618.0,1116618.0
Mardin,47,2023,12.0,1746.0,572.0,665.0,11.0,253.0,1859.0,571.0,337.0,2248.0,,,888874.0,888874.0
Muğla,48,2023,24.0,2537.0,1253.0,713.0,313.0,662.0,2585.0,877.0,580.0,3499.0,,,1066736.0,1066736.0
Muş,49,2023,7.0,755.0,203.0,273.0,0.0,62.0,895.0,204.0,88.0,913.0,,206728.0,399879.0,193151.0
Nevşehir,50,2023,10.0,857.0,250.0,244.0,0.0,134.0,870.0,276.0,137.0,1278.0,,107409.0,315994.0,208585.0
Niğde,51,2023,8.0,918.0,254.0,263.0,15.0,116.0,895.0,338.0,156.0,1213.0,,152544.0,377080.0,224536.0
Ordu,52,2023,18.0,2304.0,697.0,571.0,111.0,355.0,2217.0,657.0,358.0,2734.0,,,775800.0,775800.0
Rize,53,2023,11.0,1121.0,384.0,282.0,203.0,243.0,1116.0,273.0,155.0,1285.0,,129048.0,350506.0,221458.0
Sakarya,54,2023,19.0,2447.0,1004.0,722.0,461.0,496.0,2682.0,851.0,503.0,2773.0,,,1098115.0,1098115.0
Samsun,55,2023,25.0,5293.0,1799.0,905.0,775.0,714.0,4859.0,1167.0,708.0,5273.0,,,1377546.0,1377546.0
Siirt,56,2023,8.0,783.0,208.0,239.0,0.0,76.0,849.0,238.0,119.0,1014.0,,109128.0,347412.0,238284.0
Sinop,57,2023,7.0,660.0,163.0,203.0,0.0,81.0,754.0,232.0,102.0,933.0,,89577.0,229716.0,140139.0
Sivas,58,2023,20.0,2930.0,595.0,507.0,433.0,341.0,2471.0,676.0,290.0,2522.0,,168459.0,650401.0,481942.0
Tekirdağ,59,2023,20.0,3232.0,1055.0,661.0,212.0,510.0,2723.0,676.0,455.0,3042.0,,,1167059.0,1167059.0
Tokat,60,2023,15.0,2242.0,546.0,459.0,103.0,261.0,2071.0,558.0,261.0,2296.0,,213020.0,606934.0,393914.0
Trabzon,61,2023,22.0,3309.0,1043.0,602.0,635.0,460.0,3428.0,733.0,427.0,3664.0,,,824352.0,824352.0
Tunceli,62,2023,6.0,150.0,75.0,124.0,0.0,46.0,269.0,155.0,26.0,436.0,,31419.0,89317.0,57898.0
Şanlıurfa,63,2023,20.0,4264.0,1181.0,1231.0,225.0,479.0,4568.0,1082.0,885.0,4707.0,,,2213964.0,2213964.0
Uşak,64,2023,7.0,1142.0,382.0,248.0,14.0,208.0,1071.0,480.0,164.0,1183.0,,89857.0,377001.0,287144.0
Van,65,2023,15.0,3074.0,863.0,681.0,284.0,338.0,3212.0,644.0,367.0,3106.0,,,1127612.0,1127612.0
Yozgat,66,2023,15.0,1230.0,311.0,359.0,69.0,129.0,1303.0,391.0,152.0,1625.0,,144229.0,420699.0,276470.0
Zonguldak,67,2023,12.0,2313.0,566.0,416.0,299.0,278.0,2014.0,481.0,269.0,1934.0,,218865.0,591492.0,372627.0
Aksaray,68,2023,11.0,1116.0,331.0,329.0,34.0,131.0,1178.0,328.0,198.0,1263.0,,122240.0,438504.0,316264.0
Bayburt,69,2023,3.0,205.0,72.0,96.0,0.0,34.0,249.0,69.0,34.0,371.0,,36441.0,86047.0,49606.0
Karaman,70,2023,6.0,654.0,241.0,203.0,12.0,113.0,736.0,248.0,118.0,861.0,,62688.0,263960.0,201272.0
Kırıkkale,71,2023,7.0,1254.0,280.0,221.0,77.0,210.0,939.0,271.0,125.0,1519.0,,41647.0,285744.0,244097.0
Batman,72,2023,12.0,1815.0,471.0,412.0,0.0,185.0,1736.0,458.0,239.0,1898.0,,115739.0,647205.0,531466.0
Şırnak,73,2023,7.0,740.0,270.0,377.0,0.0,114.0,944.0,240.0,151.0,1080.0,,187357.0,570745.0,383388.0
Bartın,74,2023,4.0,507.0,157.0,153.0,0.0,72.0,552.0,188.0,92.0,626.0,,108965.0,207238.0,98273.0
Ardahan,75,2023,4.0,210.0,72.0,87.0,0.0,32.0,209.0,90.0,29.0,341.0,,52829.0,92819.0,39990.0
Iğdır,76,2023,4.0,325.0,106.0,145.0,0.0,59.0,424.0,150.0,63.0,588.0,,86484.0,209738.0,123254.0
Yalova,77,2023,7.0,791.0,303.0,209.0,0.0,156.0,671.0,180.0,132.0,1107.0,,83978.0,304780.0,220802.0
Karabük,78,2023,6.0,751.0,236.0,206.0,121.0,129.0,770.0,240.0,104.0,1003.0,,63871.0,255242.0,191371.0
Kilis,79,2023,2.0,430.0,144.0,158.0,0.0,69.0,708.0,226.0,75.0,626.0,,33376.0,155179.0,121803.0
Osmaniye,80,2023,10.0,1753.0,373.0,389.0,0.0,210.0,1450.0,508.0,281.0,1874.0,,128606.0,557666.0,429060.0
Düzce,81,2023,9.0,916.0,392.0,258.0,267.0,136.0,968.0,242.0,146.0,1121.0,,128115.0,409865.0,281750.0
Adana,1,2024,,,,,,,,,,,2280484.0,,,
Adıyaman,2,2024,,,,,,,,,,,188042.0,,,
Afyonkarahisar,3,2024,,,,,,,,,,,286772.0,,,
Ağrı,4,2024,,,,,,,,,,,191099.0,,,
Amasya,5,2024,,,,,,,,,,,85595.0,,,
Ankara,6,2024,,,,,,,,,,,5864049.0,,,
Antalya,7,2024,,,,,,,,,,,2722103.0,,,
Artvin,8,2024,,,,,,,,,,,60455.0,,,
Aydın,9,2024,,,,,,,,,,,1165943.0,,,
Balıkesir,10,2024,,,,,,,,,,,1276096.0,,,
Bilecik,11,2024,,,,,,,,,,,37616.0,,,
Bingöl,12,2024,,,,,,,,,,,87127.0,,,
Bitlis,13,2024,,,,,,,,,,,121530.0,,,
Bolu,14,2024,,,,,,,,,,,85864.0,,,
Burdur,15,2024,,,,,,,,,,,81325.0,,,
Bursa,16,2024,,,,,,,,,,,3238618.0,,,
Çanakkale,17,2024,,,,,,,,,,,216299.0,,,
Çankırı,18,2024,,,,,,,,,,,61354.0,,,
Çorum,19,2024,,,,,,,,,,,126143.0,,,
Denizli,20,2024,,,,,,,,,,,1061371.0,,,
Diyarbakır,21,2024,,,,,,,,,,,1833684.0,,,
Edirne,22,2024,,,,,,,,,,,99079.0,,,
Elazığ,23,2024,,,,,,,,,,,127479.0,,,
Erzincan,24,2024,,,,,,,,,,,58784.0,,,
Erzurum,25,2024,,,,,,,,,,,745005.0,,,
Eskişehir,26,2024,,,,,,,,,,,921630.0,,,
Gaziantep,27,2024,,,,,,,,,,,2193363.0,,,
Giresun,28,2024,,,,,,,,,,,150197.0,,,
Gümüşhane,29,2024,,,,,,,,,,,58500.0,,,
Hakkari,30,2024,,,,,,,,,,,96422.0,,,
Hatay,31,2024,,,,,,,,,,,1562185.0,,,
Isparta,32,2024,,,,,,,,,,,110638.0,,,
Mersin,33,2024,,,,,,,,,,,1954279.0,,,
İstanbul,34,2024,,,,,,,,,,,15701602.0,,,
İzmir,35,2024,,,,,,,,,,,4493242.0,,,
Kars,36,2024,,,,,,,,,,,124975.0,,,
Kastamonu,37,2024,,,,,,,,,,,137565.0,,,
Kayseri,38,2024,,,,,,,,,,,1452458.0,,,
Kırklareli,39,2024,,,,,,,,,,,99331.0,,,
Kırşehir,40,2024,,,,,,,,,,,45967.0,,,
Kocaeli,41,2024,,,,,,,,,,,2130006.0,,,
Konya,42,2024,,,,,,,,,,,2330024.0,,,
Kütahya,43,2024,,,,,,,,,,,146991.0,,,
Malatya,44,2024,,,,,,,,,,,750491.0,,,
Manisa,45,2024,,,,,,,,,,,1475353.0,,,
Kahramanmaraş,46,2024,,,,,,,,,,,1134105.0,,,
Mardin,47,2024,,,,,,,,,,,895911.0,,,
Muğla,48,2024,,,,,,,,,,,1081867.0,,,
Muş,49,2024,,,,,,,,,,,195586.0,,,
Nevşehir,50,2024,,,,,,,,,,,105007.0,,,
Niğde,51,2024,,,,,,,,,,,141878.0,,,
Ordu,52,2024,,,,,,,,,,,770711.0,,,
Rize,53,2024,,,,,,,,,,,117045.0,,,
Sakarya,54,2024,,,,,,,,,,,1110735.0,,,
Samsun,55,2024,,,,,,,,,,,1382376.0,,,
Siirt,56,2024,,,,,,,,,,,103832.0,,,
Sinop,57,2024,,,,,,,,,,,84468.0,,,
Sivas,58,2024,,,,,,,,,,,149768.0,,,
Tekirdağ,59,2024,,,,,,,,,,,1187162.0,,,
Tokat,60,2024,,,,,,,,,,,208912.0,,,
Trabzon,61,2024,,,,,,,,,,,822270.0,,,
Tunceli,62,2024,,,,,,,,,,,29044.0,,,
Şanlıurfa,63,2024,,,,,,,,,,,2237745.0,,,
Uşak,64,2024,,,,,,,,,,,87273.0,,,
Van,65,2024,,,,,,,,,,,1118087.0,,,
Yozgat,66,2024,,,,,,,,,,,135276.0,,,
Zonguldak,67,2024,,,,,,,,,,,212999.0,,,
Aksaray,68,2024,,,,,,,,,,,116505.0,,,
Bayburt,69,2024,,,,,,,,,,,29943.0,,,
Karaman,70,2024,,,,,,,,,,,61623.0,,,
Kırıkkale,71,2024,,,,,,,,,,,34368.0,,,
Batman,72,2024,,,,,,,,,,,107996.0,,,
Şırnak,73,2024,,,,,,,,,,,184323.0,,,
Bartın,74,2024,,,,,,,,,,,105209.0,,,
Ardahan,75,2024,,,,,,,,,,,50898.0,,,
Iğdır,76,2024,,,,,,,,,,,84875.0,,,
Yalova,77,2024,,,,,,,,,,,84093.0,,,
Karabük,78,2024,,,,,,,,,,,58264.0,,,
Kilis,79,2024,,,,,,,,,,,33136.0,,,
Osmaniye,80,2024,,,,,,,,,,,125529.0,,,
Düzce,81,2024,,,,,,,,,,,124687.0,,,
Adana,1,2025,,,,,,,,,,,2283609.0,,,
Adıyaman,2,2025,,,,,,,,,,,191262.0,,,
Afyonkarahisar,3,2025,,,,,,,,,,,284162.0,,,
Ağrı,4,2025,,,,,,,,,,,183050.0,,,
Amasya,5,2025,,,,,,,,,,,82829.0,,,
Ankara,6,2025,,,,,,,,,,,5910320.0,,,
Antalya,7,2025,,,,,,,,,,,2777677.0,,,
Artvin,8,2025,,,,,,,,,,,58176.0,,,
Aydın,9,2025,,,,,,,,,,,1172107.0,,,
Balıkesir,10,2025,,,,,,,,,,,1284517.0,,,
Bilecik,11,2025,,,,,,,,,,,36393.0,,,
Bingöl,12,2025,,,,,,,,,,,83123.0,,,
Bitlis,13,2025,,,,,,,,,,,119374.0,,,
Bolu,14,2025,,,,,,,,,,,84447.0,,,
Burdur,15,2025,,,,,,,,,,,80283.0,,,
Bursa,16,2025,,,,,,,,,,,3263011.0,,,
Çanakkale,17,2025,,,,,,,,,,,217926.0,,,
Çankırı,18,2025,,,,,,,,,,,61386.0,,,
Çorum,19,2025,,,,,,,,,,,120450.0,,,
Denizli,20,2025,,,,,,,,,,,1060975.0,,,
Diyarbakır,21,2025,,,,,,,,,,,1852356.0,,,
Edirne,22,2025,,,,,,,,,,,96927.0,,,
Elazığ,23,2025,,,,,,,,,,,120614.0,,,
Erzincan,24,2025,,,,,,,,,,,57542.0,,,
Erzurum,25,2025,,,,,,,,,,,736877.0,,,
Eskişehir,26,2025,,,,,,,,,,,927956.0,,,
Gaziantep,27,2025,,,,,,,,,,,2222415.0,,,
Giresun,28,2025,,,,,,,,,,,146847.0,,,
Gümüşhane,29,2025,,,,,,,,,,,54091.0,,,
Hakkari,30,2025,,,,,,,,,,,93551.0,,,
Hatay,31,2025,,,,,,,,,,,1577531.0,,,
Isparta,32,2025,,,,,,,,,,,107915.0,,,
Mersin,33,2025,,,,,,,,,,,1956428.0,,,
İstanbul,34,2025,,,,,,,,,,,15754053.0,,,
İzmir,35,2025,,,,,,,,,,,4504185.0,,,
Kars,36,2025,,,,,,,,,,,120528.0,,,
Kastamonu,37,2025,,,,,,,,,,,132808.0,,,
Kayseri,38,2025,,,,,,,,,,,1458991.0,,,
Kırklareli,39,2025,,,,,,,,,,,98530.0,,,
Kırşehir,40,2025,,,,,,,,,,,44168.0,,,
Kocaeli,41,2025,,,,,,,,,,,2161171.0,,,
Konya,42,2025,,,,,,,,,,,2343409.0,,,
Kütahya,43,2025,,,,,,,,,,,145053.0,,,
Malatya,44,2025,,,,,,,,,,,755854.0,,,
Manisa,45,2025,,,,,,,,,,,1477756.0,,,
Kahramanmaraş,46,2025,,,,,,,,,,,1146278.0,,,
Mardin,47,2025,,,,,,,,,,,903576.0,,,
Muğla,48,2025,,,,,,,,,,,1099547.0,,,
Muş,49,2025,,,,,,,,,,,189678.0,,,
Nevşehir,50,2025,,,,,,,,,,,107497.0,,,
Niğde,51,2025,,,,,,,,,,,138870.0,,,
Ordu,52,2025,,,,,,,,,,,768087.0,,,
Rize,53,2025,,,,,,,,,,,110957.0,,,
Sakarya,54,2025,,,,,,,,,,,1123693.0,,,
Samsun,55,2025,,,,,,,,,,,1392403.0,,,
Siirt,56,2025,,,,,,,,,,,101181.0,,,
Sinop,57,2025,,,,,,,,,,,81564.0,,,
Sivas,58,2025,,,,,,,,,,,142801.0,,,
Tekirdağ,59,2025,,,,,,,,,,,1208441.0,,,
Tokat,60,2025,,,,,,,,,,,205411.0,,,
Trabzon,61,2025,,,,,,,,,,,823323.0,,,
Tunceli,62,2025,,,,,,,,,,,28045.0,,,
Şanlıurfa,63,2025,,,,,,,,,,,2265800.0,,,
Uşak,64,2025,,,,,,,,,,,85698.0,,,
Van,65,2025,,,,,,,,,,,1112013.0,,,
Yozgat,66,2025,,,,,,,,,,,136663.0,,,
Zonguldak,67,2025,,,,,,,,,,,209455.0,,,
Aksaray,68,2025,,,,,,,,,,,113802.0,,,
Bayburt,69,2025,,,,,,,,,,,28207.0,,,
Karaman,70,2025,,,,,,,,,,,60301.0,,,
Kırıkkale,71,2025,,,,,,,,,,,33495.0,,,
Batman,72,2025,,,,,,,,,,,105212.0,,,
Şırnak,73,2025,,,,,,,,,,,181684.0,,,
Bartın,74,2025,,,,,,,,,,,103892.0,,,
Ardahan,75,2025,,,,,,,,,,,49547.0,,,
Iğdır,76,2025,,,,,,,,,,,82932.0,,,
Yalova,77,2025,,,,,,,,,,,86155.0,,,
Karabük,78,2025,,,,,,,,,,,55693.0,,,
Kilis,79,2025,,,,,,,,,,,31589.0,,,
Osmaniye,80,2025,,,,,,,,,,,122743.0,,,
Düzce,81,2025,,,,,,,,,,,122186.0,,,
